#,Track,What I call it,How much I care,Full title,Who wrote it,Year,Where it came out,Is that a good place to publish?,How many people cite it,Where they're from,Link,Did I actually read it?,What problem were they solving,Who they built it for,What data they used,How much of it,Can I download their work?,Did they follow a proper method?,How many classes,How many properties,The classes worth knowing about,The properties worth knowing about,Any rules or clever definitions,How the data got in,What software they used,How it actually recommends things,Reasoner,SPARQL?,Did they link to outside data,How they tested it,The numbers they got,Do the numbers back up the claim?,What I'm taking from it,"What I'm leaving, and why",What they can't do that I can,The idea nobody would expect,Where this goes in my chapter
1,B,Moe & Aung,Read closely,Building Ontologies for Cross-domain Recommendation on Facial Skin Problem and Related Cosmetics,"K. S. M. Moe, T. N. Aung",2014,Int. Journal of Information Technology and Computer Science 6(6) 33-39,"Weak. A low barrier journal. Say so plainly if asked; I cite it for its method, not its standing","3 (2014 version), 8 (2016 reprint)","Univ. of Technology Yatanarpon Cyber City + Univ. of Computer Studies Yangon, Myanmar",https://www.mecs-press.org/ijitcs/ijitcs-v6-n6/v6n6-5.html,"Read the whole PDF, it's in our repo","A user has a facial skin problem and needs a cosmetic. The problem and the products live in two different worlds, so how do you bridge them",Consumers with a skin complaint,None stated. This is the paper's biggest weakness,Not reported anywhere in the paper,"No. No link, no repository, no address. The ontology exists only as figures","No name given, but it is METHONTOLOGY in all but name: an eight task procedure",They never say,They never say,"SkinProblem, Symptom, Cause, Cosmetics, and ContextualFeatures which holds PlaceZone, AgeLevel, CosmeticsBrand, Season, PriceRange","hasIngredients, hasIngValue, isNextRelatedTo, hasSymptom, hasCause","None. No defined classes, no rules",Not reported. Almost certainly typed in by hand in Protege,Protege,"Three stages. Conversational questioning narrows a vague query to a definite problem, then problem and products go into a weighted graph, then Ford-Fulkerson maximum flow scores each product. Highest flow wins",None. An ontology paper that never actually reasons,No,None,"Precision, recall and F-measure, plotted against a cut-off they call alpha",Product flow weights from 0.38 to 0.70. No dataset size given,"No. They claim to beat related work but there is no comparison table, no baseline and no dataset size","The eight task checklist, especially task 1, a glossary of every term with its synonyms. Also their ContextualFeatures class: price and place describe a product as sold somewhere, not the product itself","Ford-Fulkerson. My products already carry availability, price and evidence level, so a weighted filter does the same job with less machinery","Their ingredients are free text with a number attached and no register behind them. Nothing in their model can say an ingredient is regulated. Mine can, on 99.2% of products with a formula","Their throwaway Season class. Beirut summer is humid and coastal, winter is dry, so a gel cleanser right in August is wrong in January. Nobody in my whole review models climate, and Lebanon has a genuinely seasonal skin problem","Section 3.2, first competitor"
48,F,LOT,MY PUBLICATION METHOD,LOT: An industrial oriented ontology engineering framework,"M. Poveda-Villalon, A. Fernandez-Izquierdo, M. Fernandez-Lopez, R. Garcia-Castro",2022,"Engineering Applications of Artificial Intelligence 111, Elsevier",Q1 Elsevier journal,Growing fast,"Universidad Politecnica de Madrid, Spain",https://lot.linkeddata.es/ | https://doi.org/10.1016/j.engappai.2022.104755,Abstract and the methodology website,"Existing ontology methodologies are heavy and academic. Industry needs something lightweight, iterative and oriented to actually publishing the result",Ontology engineers in industry and research,The methodology itself,Doesn't apply here,Freely documented,"IT IS the methodology. Four activities: requirements, implementation, publication, maintenance",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,"Not about population, but its requirements activity produces the ORSD that drives everything",Compatible with agile sprints and standard software practice,Doesn't apply here,Doesn't apply here,Doesn't apply here,Emphasises REUSING TERMS from published vocabularies and PUBLISHING the result,Presented as a framework with case studies,Doesn't apply here,Appropriate for a methodology paper,"THE PROJECT STRUCTURE AND THE PUBLICATION DISCIPLINE. Four activities, each producing a thesis deliverable: requirements to the methodology chapter, implementation to the design chapter, publication to the results chapter, maintenance to the discussion",Nothing. I am adopting it,"Not competing with us, it's on our side","Its two emphases are exactly my two criticisms of track B. It stresses REUSING published terms, and track B invents everything. It stresses PUBLISHING, and one of six track B ontologies is published. Adopting LOT is therefore not just a method choice, it is a direct response to my own gap analysis, and I can say so in one sentence","Methodology chapter, the framework"
49,F,MOMo,MY DESIGN METHOD,Modular ontology modeling,"C. Shimizu, K. Hammar, P. Hitzler",2022,"Semantic Web journal, IOS Press",The specialist journal of the field,84,"Kansas State University, USA and Jonkoping University, Sweden",https://consensus.app/papers/details/7df1c6652d4759c0bf23e59205fddd50/ | tool: https://comodide.com/,Read the abstract carefully,"Reusing ontologies is hard for four specific reasons, so provide a methodology and tooling that address them",Ontology engineers,"The methodology, plus a rigorous usability evaluation of its tool",Evaluation of CoModIDE with real users,"Freely documented, tool available","IT IS the methodology. Builds on eXtreme Design, adds GRAPHICAL SCHEMA DIAGRAMS as the knowledge elicitation device",Doesn't apply here,Doesn't apply here,Uses Ontology Design Patterns as the unit of reuse,Doesn't apply here,Doesn't apply here,Not about population,"CoModIDE, the Comprehensive Modular Ontology IDE",Doesn't apply here,Doesn't apply here,Doesn't apply here,Ontology Design Patterns and the MODL pattern library,Rigorous usability evaluation of CoModIDE,"CoModIDE significantly improves the approachability of graphical modular modelling, and shows high usability","Yes, and unusually for a methodology paper it evaluates its own tooling properly","THE DESIGN METHOD, AND THE FOUR REASONS REUSE FAILS, WHICH I HAVE PERSONALLY HIT THREE OF: differing granularity (OntoCosmetic has 116 classes and I need 10), lacking conceptual clarity (Moe and Aung's hasIngValue means nothing without the paper), difficulty adhering to good principles (my first ttl mixed product and ingredient properties), and no reuse support in tooling (Protege will not help me find an existing term)",Nothing. I am adopting it,"Not competing with us, it's on our side","Quoting their four failure reasons and giving MY OWN EXAMPLE AGAINST EACH ONE is a strong and unusual passage for a methodology chapter. It shows the methodology was chosen because of problems I actually had, not picked off a list. Also take the habit of drawing each module before writing Turtle, since those diagrams are the figures my chapter needs anyway","Methodology chapter, the design method"
50,F,eXtreme Design,Cite as parent method,Engineering Ontologies with Patterns: The eXtreme Design Methodology,"E. Blomqvist, K. Hammar, V. Presutti",2016,"Ontology Engineering with ODPs, IOS Press",Book chapter in the standard reference,113,"Linkoping and Jonkoping, Sweden",https://consensus.app/papers/details/ed01a11435b75058a2e98e48ccdc4d8d/,Abstract,Build ontologies agilely using design patterns as the unit of work,Ontology engineers,The methodology,Doesn't apply here,Published,"IT IS the methodology. Agile, pattern-based",Doesn't apply here,Doesn't apply here,Ontology Design Patterns as reusable modelling units,Doesn't apply here,Doesn't apply here,Doesn't apply here,Pattern catalogues,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Appropriate for a methodology chapter,The parent of MOMo. Cite both to show the lineage of the method I chose,"I use MOMo rather than XD directly, because MOMo adds the graphical modelling and the tooling","Not competing with us, it's on our side","Citing the lineage (ODP book, then eXtreme Design, then MOMo) in two sentences shows the methodology has a twenty-year research history behind it. That is much harder to challenge than 'I followed a blog post'","Methodology chapter, lineage"
51,F,ODP book,Background,Ontology Engineering with Ontology Design Patterns: Foundations and Applications,"P. Hitzler, A. Gangemi, K. Janowicz, A. Krisnadhi, V. Presutti (eds)",2016,IOS Press,The standard textbook of the area,99,International,https://consensus.app/papers/details/b0ac301002d95b13844ad0c55cc322a4/,Abstract,Bring together everything known about ontology design patterns,Ontology engineers,Edited volume,Doesn't apply here,Published book,Modular ontology modelling based on design patterns,Doesn't apply here,Doesn't apply here,"Design patterns including the N-ARY RELATION pattern, which is what my IngredientListing and Claim reifications are",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Appropriate,"THE NAME FOR WHAT I AM DOING. My two reifications are the n-ary relation pattern. Calling them that, and citing this, turns an improvisation into an application of an established pattern",The chapters on domains far from mine,"Not competing with us, it's on our side","The difference between writing 'I made Claim into its own class because a triple only has three slots' and 'the Claim construct applies the n-ary relation ontology design pattern' is the difference between a student and a researcher. Same design, different standing","Design chapter, pattern justification"
52,F,Grau modular reuse,Cite for rigour,Modular Reuse of Ontologies: Theory and Practice,"B. Cuenca Grau, I. Horrocks, Y. Kazakov, U. Sattler",2008,Journal of Artificial Intelligence Research,"JAIR. Q1, highly respected",453,"University of Oxford and University of Manchester, UK",https://consensus.app/papers/details/3bc32d5e379851aeaef1106fdfd67cef/,Abstract,Formalise what it actually means to safely reuse part of an ontology,Description logic researchers,Theory,Doesn't apply here,Published,Formal theory rather than a methodology,Doesn't apply here,Doesn't apply here,"Introduces conservative extension, safety, and locality",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Formal proofs plus modularisation algorithms,"Shows the general problems are undecidable for OWL DL, then identifies LOCALITY as a practical sufficient condition for safe reuse",Yes. It is a formal paper and proves what it claims,"ONE SENTENCE OF RIGOUR. When I import part of another ontology, there is a formal notion of doing so SAFELY, meaning without changing the meaning of the imported terms. I do not need the mathematics, but citing it shows I know the guarantee exists",The proofs. I am not attempting them,"Not competing with us, it's on our side",This is the paper that justifies my decision NOT to import all 116 classes of OntoCosmetic. Importing an ontology wholesale can change the meaning of your own terms. Referencing safety and locality turns 'I only took ten classes' from laziness into a principled decision,"Design chapter, reuse justification"
53,F,MODL,Use as a catalogue,MODL: A Modular Ontology Design Library,"C. Shimizu, Q. Hirt, P. Hitzler",2019,WOP / arXiv,"Workshop paper, but widely used",55,"Kansas State University, USA",https://consensus.app/papers/details/4af016e1676c59d79b0de41f7ea96d68/,Abstract,"Reusing a design pattern requires knowing it exists, which is a real barrier",Ontology engineers,A curated collection of well-documented patterns from many disciplines,A library of patterns,"YES, publicly available",Supports pattern-based modular development,Doesn't apply here,Doesn't apply here,A catalogue of reusable patterns,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,It is a resource and presents itself as one,A PLACE TO LOOK BEFORE INVENTING A PATTERN. They state the barrier plainly: you cannot reuse a pattern you do not know exists,Nothing,"Not competing with us, it's on our side","Pattern-based modular ontologies are explicitly linked to FAIR data practice, particularly Interoperability and Reusability. Since I am already going to run FOOPS! for a FAIR score, designing with patterns and then measuring FAIRness is a coherent story that connects my design choices to my evaluation numbers","Design chapter, sprint 2"
54,F,OOPS!,RUN IT - one afternoon,OOPS! (OntOlogy Pitfall Scanner!): An On-line Tool for Ontology Evaluation,"M. Poveda-Villalon, A. Gomez-Perez, M. C. Suarez-Figueroa",2014,International Journal on Semantic Web and Information Systems 10(2) 7-34,The specialist journal for this area,Several hundred,"Universidad Politecnica de Madrid, Spain",https://oops.linkeddata.es/,Abstract and the tool itself,Ontology developers make the same design mistakes over and over. Detect them automatically instead of hoping a reviewer spots them,"Ontology developers, at any level",A catalogue of common pitfalls collected from real ontologies,41 pitfalls catalogued,"YES, free web tool, no login",Not a methodology. It is an evaluation tool,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Not a recommender. You paste an ontology URL or file and it returns a report,Doesn't apply here,No,Doesn't apply here,Automated detection against the 41-pitfall catalogue,"41 pitfalls, graded CRITICAL, IMPORTANT and MINOR",Yes. It detects what it says it detects,"A CONCRETE EVALUATION NUMBER FOR ONE AFTERNOON OF WORK. Upload the ontology, get a graded pitfall report, fix what is cheap, and report the rest honestly",Nothing. I am simply going to run it,Not competing with us. It's just a free tool,Rahayu et al. found that NONE of 28 ontology-based recommender papers described any evaluation methodology. Running a free web tool and putting the graded result in a table therefore puts me ahead of an entire 28-paper sample on that dimension. There is no cheaper contribution available anywhere in this thesis,"Evaluation chapter, structural layer"
55,F,FOOPS!,RUN IT - one afternoon,FOOPS!: An Ontology Pitfall Scanner for the FAIR Principles,"D. Garijo, O. Corcho, M. Poveda-Villalon",2021,"ISWC Posters and Demos, CEUR-WS vol 2980","A demo paper, but the tool has become standard practice",Growing,"Universidad Politecnica de Madrid, Spain",https://w3id.org/foops/,Abstract and the tool itself,"How FAIR is your ontology, measured rather than asserted. FAIR means Findable, Accessible, Interoperable and Reusable",Anyone publishing an ontology or a vocabulary,"FAIR best practices for semantic artefacts, turned into automated checks",24 checks across the four FAIR dimensions,"YES, free, and it works for both OWL and SKOS",Not a methodology. It is an evaluation tool,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Not a recommender. Point it at your ontology and it returns a FAIR score with a breakdown,Doesn't apply here,No,Doesn't apply here,"24 automated checks, four dimensions",A FAIR score with a per-dimension breakdown showing exactly what is missing,Yes. Every check maps to a stated FAIR best practice,"A SECOND FREE EVALUATION NUMBER. And since one of my five gap findings is that track B does not publish its artefacts, measuring my own FAIRness closes that criticism with evidence rather than with a promise",Nothing. I am simply going to run it,Not competing with us. It's just a free tool,"Reporting a FAIR score is rare in this literature and increasingly expected by journals and funders. It also gives me a before-and-after: run it early, fix what it flags, run it again, report both numbers. An improvement story reads far better than a single score","Evaluation chapter, structural layer"
56,F,Morph-KGC,MY POPULATION TOOL,Morph-KGC: Scalable knowledge graph materialization with mapping partitions (and Boosting Knowledge Graph Generation from Tabular Data with RML Views),"J. Arenas-Guerrero, D. Chaves-Fraga, J. Toledo, M. S. Perez, O. Corcho",2023-2024,"Semantic Web journal, plus workshop papers","The specialist journal, and the group is the reference group for this","26 for the ETL overview, 6 for the RML views paper","Universidad Politecnica de Madrid, Spain",https://morph-kgc.readthedocs.io/ | https://github.com/morph-kgc/morph-kgc,Documentation and abstracts,"Generate RDF knowledge graphs from heterogeneous sources declaratively, and do it fast enough for real data",Anyone turning tabular data into a knowledge graph,Compliant with the W3C R2RML recommendation and with RML. Built on pandas,Designed for large sources through mapping partitions,"YES, open source","Not a methodology, a tool for the population step",Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,"THIS IS THE POPULATION METHOD. A declarative mapping file describes column-to-property, and the engine generates the triples","Python, pandas, RML, YARRRML, and RML views so transformations can be written in SQL",Doesn't apply here,Doesn't apply here,Doesn't apply here,Whatever vocabularies the mapping references,Benchmarked against other RML and RML+FnO systems,Significantly more scalable than the alternatives tested,"Yes, with benchmarks","THE TOOL, AND THE ARGUMENT FOR IT. A Python script would produce the same triples but would not be auditable, citable or rerunnable by a reviewer. A mapping file is all three, goes in my appendix, and rebuilds the graph with one command when the dataset changes","The advanced features I do not need yet, such as RDF-star","Not competing with us, it's on our side","Their RML views paper exists BECAUSE plain RML forces people back into scripting for complex cases. That is directly relevant to my hardest population problem, splitting one ingredients string into 295,991 positioned listings. Knowing the limitation is documented in the literature means my preprocessing step is a recognised practice rather than a workaround I have to apologise for","Methodology chapter, population"
57,F,PE-TRE,MY EVIDENCE MODULE PRECEDENT,Semi-automated data provenance tracking for transparent data production and linkage to enhance auditing and quality assurance in Trusted Research Environments,K. O'Sullivan et al.,2025,International Journal of Population Data Science,Peer reviewed specialist journal,3,United Kingdom,https://consensus.app/papers/details/ad74e12091a053f28c8f7df3f39f3e5e/,Read the abstract carefully,"Data linkage in secure research environments is opaque, so analysts and governance teams cannot audit how a dataset was produced","Data analysts, researchers and information governance teams",Data processing workflows inside a trusted research environment,They don't say,"Not stated, but the method is fully described","YES, AND IT IS EXACTLY MINE: they applied PROV-O to CREATE A DERIVED ONTOLOGY FOLLOWING THE FOUR-STEP LINKED OPEN TERMS METHODOLOGY",They don't say,They don't say,"A derived ontology they call SHP, specialising PROV-O for their domain","PROV-O properties, specialised",Rule-based validation checks over the graph,Automated scripts collect provenance information from the data processing workflow,"PROV-O, LOT methodology, a knowledge graph, and an interactive explorer tool","Not a recommender. It displays data linkage information extracted from the knowledge graph, alongside validation results",They don't say,Implied,PROV-O,"Participatory design, contextual inquiry, user requirements interviews, co-design workshops and prototype evaluations with real users",User evaluations confirmed the tool would improve data linkage quality and reduce processing errors,Yes. A design-and-evaluate study that claims usefulness and demonstrates it with users,"THE ENTIRE SHAPE OF MY EVIDENCE MODULE, ALREADY PUBLISHED. A derived PROV-O ontology, built with LOT, for audit and traceability, with rule-based validation. My design stops being a guess and becomes an application of an established pattern in a new domain",The trusted research environment specifics,"They audit a data pipeline. I audit CLAIMS ABOUT PRODUCTS, which is a consumer-facing use nobody has applied this to","Their user evaluation found the payoff was better quality linkage and fewer processing errors. That is precisely what my four evidence levels are for, and it means I can argue the benefit of provenance modelling from someone else's user study rather than from first principles. It also validates the method combination I chose independently, which is reassuring","Design chapter, the evidence module"
58,F,SWRL,Cite if I use rules,OWL rules: A proposal and prototype implementation (SWRL),"I. Horrocks, P. F. Patel-Schneider, S. Bechhofer, D. Tsarkov",2005,Journal of Web Semantics,"The specialist journal, and the authors are the field's founders",366,"University of Manchester UK, Bell Labs USA",https://www.w3.org/submissions/SWRL/,Abstract,"OWL cannot express everything, particularly about properties. Add Horn clause rules",Ontology engineers,Formal proposal,Doesn't apply here,"W3C member submission, widely implemented",Not a methodology,Doesn't apply here,Doesn't apply here,Doesn't apply here,Doesn't apply here,SWRL IS the rule mechanism. Rules extend OWL syntactically and semantically,Doesn't apply here,"Protege, Pellet, Jess, Drools",Doesn't apply here,Pellet and Openllet support SWRL. HermiT does NOT,Doesn't apply here,None,Formal analysis,"Shows SWRL is expressive, and that ontology consistency becomes UNDECIDABLE with it","Yes, and honestly. They state the undecidability result plainly","THE MECHANISM FOR THE TWO RULES I ACTUALLY NEED, plus the warning that comes with it. OntoCosmetic uses SWRL for its heuristics, so there is domain precedent",Heavy rule use. Undecidability is a real cost and rules slow reasoning,"Not competing with us, it's on our side","The practical consequence to remember: if I write SWRL rules I must switch reasoner from HermiT to Openllet, because HermiT ignores them. That is exactly the kind of detail that goes wrong silently and produces plausible output rather than an error, which is the fault class that has cost me the most time on this project already","Design chapter, rules"
59,F,PROV-O,MY PROVENANCE VOCABULARY,PROV-O: The PROV Ontology,"T. Lebo, S. Sahoo, D. McGuinness (eds)",2013,W3C Recommendation,A W3C Recommendation. The highest standing a vocabulary can have,784,W3C Provenance Working Group,https://www.w3.org/TR/prov-o/,Read the whole thing,"Provide a standard way to say where information came from, who produced it and how",Anyone recording data provenance,The vocabulary itself,"A set of classes, properties and restrictions","YES, a W3C standard",Not a methodology,"Core classes: Entity, Activity, Agent","wasAttributedTo, wasDerivedFrom, wasGeneratedBy, generatedAtTime, actedOnBehalfOf","Entity, Activity, Agent, and their specialisations","wasAttributedTo, wasDerivedFrom, generatedAtTime, used, wasInformedBy","Designed to be SPECIALISED, meaning you create your own classes and properties underneath it, which is exactly what I will do",Doesn't apply here,Any RDF stack,Doesn't apply here,Works with any reasoner,"Yes, standard RDF","It IS an external vocabulary, and the standard one",W3C standardisation process with implementation reports,784 citations and adoption across many domains,Yes,"MY FOUR EVIDENCE LEVELS, EXPRESSED IN A LANGUAGE OTHER PEOPLE ALREADY SPEAK. A claim is not a fact floating in space: someone said it, somewhere, on a date. wasAttributedTo, wasDerivedFrom and generatedAtTime say exactly that","The workflow and activity machinery, which I do not need for static claims",Not a competitor. It is the standard that makes my contribution reusable rather than bespoke,"The single most persuasive thing about using PROV-O is that it converts my most novel design decision into a STANDARD one. Inventing four evidence levels is a choice a reviewer can question. Specialising a W3C Recommendation to a new domain is a contribution a reviewer can only assess on whether the specialisation is sound. Same idea, much stronger position","Design chapter, the evidence module"
